	topic	score
14	14	0.772955679872565
12	12	0.540112318049671
18	18	0.5398732391206111
19	19	0.538179171556881
9	9	0.5190213346475757
13	13	0.5171758228085344
4	4	0.489804611842493
7	7	0.48717009662911553
16	16	0.4830258638668751
11	11	0.48251809764705034
1	1	0.4674233230807158
17	17	0.4552604132800301
2	2	0.44867612810668545
5	5	0.4185285033653624
8	8	0.4070629414219894
6	6	0.37401637110961616
10	10	0.36990985252635555
0	0	0.3440502161971221
3	3	0.3423507837469998
15	15	0.307247412783603
