idno,univ,year,date,title,count
cu1503,CUHK,2013,2013-03-12,Celebrating 50 Years of Excellence:  CUHK Hosts APAIE Conference and Exhibition 2013 'An Ascendant Asia-Pacific: International Higher Education in the 21st Century' Largest International Education Conference Ever Held in the Region ,1
hu0682,HKU,2013,2013-11-26,HKU holds the 189th Congregation,1
hu1162,HKU,2007,2007-03-09,HKU Press Statement on Outside Clinical Practice,1
hu0619,HKU,2009,2009-06-18,Review Confirms the Effectiveness of HKU’s Governance and Management Reforms,1
cu1011,CUHK,2011,2011-04-18,CUHK Symposium on Geoinformation and Earth Sciences: Human Habitat Showcased Research Achievements Towards Better Living Environment,1
cu1597,CUHK,2013,2013-08-01,CUHK Appoints University Bursar,1
hu0342,HKU,2005,2005-07-06,HKU to Outline Its Vision for Next 10 year in a Press Briefing Held Tomorrow (Press Invitation),1
pu1369,PolyU,2005,2005-01-28,HKCC graduates enjoy articulation onto OUHK's degree programmes,1
hu0991,HKU,2016,2016-03-08,Nobel Laureate Distinguished Lecture by Professor Eric S. Maskin “Financial Crises: Why They Occur and What to Do about Them” ,1
pu2651,PolyU,2013,2013-11-26,PolyU and CUHK Jointly Introduce telestroke for 24-hour Thrombolysis Service at Prince of Wales Hospital,1
hu0910,HKU,2012,2012-03-04,Professor Tony Fung elected Fellow of the American Association for the Advancement of Science,1
hu0924,HKU,2015,2015-04-13,HKU homepage www.hku.hk awarded Most Favourite Website in Web Accessibility Recognition Scheme 2015,1
hu0284,HKU,2013,2013-06-17,Emerson String Quartet at HKU ,1
pu2464,PolyU,2013,2013-01-23,Scientists develop special cotton that collects water from fog,1
pu1713,PolyU,2006,2006-03-23,PolyU joins force with NASA to monitor air pollution at Pearl River Delta,1
cu1409,CUHK,2012,2012-10-14,Wu Jieh Yee Charitable Foundation Donates HK$8 Million to CUHK In Support of the Development of Shiu-Ying Hu Herbarium ,1
cu1645,CUHK,2013,2013-10-07,CUHK 50th Anniversary Fair Public Lecture  Prof. Helene Fung Speaks on Ways to Enjoy Fruitful Old Age,1
cu1317,CUHK,2012,2012-05-19,"CUHK Business School Joins Hands with Education Bureau to Organize ""When Adam Smith Meets Steve Jobs: Economics × Creativity"" 66 teams of creative minds to Interpret Economic Theories with Localized Versions of “You Are the Apple of My Eye” and Time-travel Drama",1
pu1385,PolyU,2006,2006-04-04,Residents have mixed opinions towards Hong Kong Disneyland,1
cu1571,CUHK,2013,2013-06-04,CUHK to Host an Academic Conference on Life Education This Saturday Now Open to Teachers and Education Practitioners,1
hu0058,HKU,2013,2013-08-20,Centre of Buddhist Studies of The University of Hong Kong 10th Anniversary International Conference Buddhist Meditative Praxis: Traditional Teachings &amp; Modern Application ,1
cu2169,CUHK,2016,2016-01-19,CUHK ISEIS Celebrates its Tenth Anniversary,1
pu2602,PolyU,2013,2013-09-10,PolyU experts and OSHC research on cooling vests to protect workers from heat strokes ,1
cu1768,CUHK,2014,2014-03-12,CUHK Joins Hands with Local Community in Carnival this Saturday to Strengthen Neighbourhood Bonding All are welcome,1
hu0907,HKU,2012,2012-06-14,Tony Blair discusses the impact of faith and globalisation on Hong Kong and the wider world,1
cu2198,CUHK,2016,2016-03-02,Survey Findings on Views on Hong Kong Express Rail Link Project Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
cu1136,CUHK,2011,2011-10-02,CUHK Launches CUHK Mobile App University Information at Fingertips,1
cu3776,CUHK,2006,2006-01-16,Tomson Group Donates HK$3.5 Million to CUHK,1
hu1327,HKU,2003,2003-06-10,"Degree Show 2002-2003 Master of Architecture, Dept of Architecture, HKU",1
cu0066,CUHK,2010,2010-01-27,CUHK Centre for Sign Linguistics and Deaf Studies Hosts International Conference on Sign Linguistics and Deaf Education in Asia,1
pu1154,PolyU,2009,2009-04-30,PolyU promotes Social Inclusiveness with Chinese Chess for the Visually Impaired,1
cu0854,CUHK,2010,2010-09-08,Ambassador of China to Indonesia Zhang Qiyue Speaks on ‘China’s Foreign Policy and China-ASEAN Relations’ at CUHK Today,1
pu2360,PolyU,2012,2012-09-21,"PolyU &amp; Philips ""Product and Technology Design Competition"" kicks off",1
pu0818,PolyU,2007,2007-04-10,PolyU to stage first forum on China hotel and tourism development in New York,1
hu0425,HKU,2004,2004-07-08,Economic Recovery is Expected to be Sustainable According to HKU APEC Study Centre,1
pu1140,PolyU,2009,2009-04-14,Chinese officials and leading university heads grace the inauguration celebration,1
pu2204,PolyU,2011,2011-10-14,PolyU scientists develop new textile materials for sportswear,1
pu2092,PolyU,2011,2011-04-21,PolyU students' creativity unleashed in green plastics competition,1
cu1268,CUHK,2012,2012-03-15,CUHK Launches Territory-wide Sleep Health Education Campaign to Promote Healthy Sleep and Healthy School Life ,1
hu0503,HKU,2016,2016-02-01,The University of Hong Kong and Sciences Po to officially launch an undergraduate dual degree programme from 2016/17 academic year,1
cu2317,CUHK,2016,2016-08-08,Survey Findings on Views on “Winning at the Starting Line” in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
pu2332,PolyU,2012,2012-07-31,PolyU study raises alert for further increase in city's temperature,1
cu0214,CUHK,2009,2009-06-15,CUHK presents Vice-Chancellor’s Exemplary Teaching Award 2008 to Nine Outstanding Educators,1
pu1912,PolyU,2010,2010-06-22,PolyU and LCSD jointly stage Qipao Fashion Exhibition,1
pu0624,PolyU,2005,2005-11-29,PolyU studies find the PRE seafood contained elevated concentrations of heavy metals,1
hu0971,HKU,2014,2014-05-27,New World Group Charity Foundation’s donation for the establishment of Clinical and Translational Laboratory in the HKU Department of Surgery,1
pu2389,PolyU,2012,2012-09-05,PolyU students excel in International Engineering Design Contest,1
cu0969,CUHK,2011,2011-02-10,CUHK Engineering Faculty Asserts Leading Position Four Professors Garner IEEE Honours ,1
pu1664,PolyU,2007,2007-09-17,"PolyU ""head-hunters"" share results of SizeChina.com",1
hu0229,HKU,2010,2010-03-22,"International Media Conference: Reporting New Realities in Asia and the Pacific At The University of Hong Kong – April 25-28, 2010",1
cu3364,CUHK,2005,2005-09-15,CUHK Accountancy Graduates Swept All 3 top Awards of CPA QP Exam,1
cu2079,CUHK,2015,2015-09-14,CUHK ‘International Poets in Hong Kong’ Distinguished Mexican Poet Coral Bracho to Visit Hong Kong All are Welcome,1
pu1524,PolyU,2006,2006-01-18,PolyU wins top honours for research breakthroughs,1
cu0359,CUHK,2008,2008-11-07,A New Non-invasive Technology Reduces More than Half of the Hepatitis B Patients for Liver Biopsy,1
pu2539,PolyU,2013,2013-05-31,PolyU's performance in civil engineering ranks among top 20 in the world,1
cu0862,CUHK,2010,2010-09-16,CUHK Introduces Novel “Gastric Contraction Modulators” to Help Obese Type 2 Diabetic Patients,1
pu0334,PolyU,2004,2004-04-22,PolyU graduates enjoy good career prospects,1
pu2368,PolyU,2012,2012-06-26,PolyU discovery leads to HK's first anti-cancer drug granted with US FDA IND,1
cu3344,CUHK,2003,2003-10-10,CUHK Launches New Elitist Mentorship Programme For MBA Students,1
pu1640,PolyU,2008,2008-05-21,Top-notch experts to assess impact of Urban Heat Island effects,1
pu1125,PolyU,2009,2009-03-12,PolyU award-winning researches help withstand natural disasters,1
pu0870,PolyU,2007,2007-06-29,Creativity of PolyU engineering students displayed in competitions,1
hu1174,HKU,2015,2015-12-24,HKU Faculty of Dentistry survey reveals breastfeeding benefits dental occlusal development in young children,1
pu2528,PolyU,2013,2013-05-22,PolyU stages Knitwear Fashion Show,1
cu2085,CUHK,2015,2015-09-29,CUHK hosts The Shaw Prize Lecture  by Mr. William J Borucki on Astronomy,1
pu1956,PolyU,2010,2010-09-03,PolyU researchers exchange with Secretary for the Environment on applying academic researches to promoting green Hong Kong,1
pu2016,PolyU,2010,2010-12-10,PolyU Business students enter International Business Case Competition Finals,1
hu1060,HKU,2010,2010-05-20,Contemporary Arts in Japan – A Talk on Setouchi International Art Festival 2010,1
cu3367,CUHK,2005,2005-10-11,CUHK Announces Ground-breaking Findings on Herbal Extracts for Treatment of Insomnia,1
cu3196,CUHK,2004,2004-01-13,Proper Monitoring Brings Improved Care to Childhood Asthma,1
hu0413,HKU,2012,2012-05-03,New breakthroughs by HKU research team on Wireless Power Transfer Wireless Domino-Resonator Systems for Mid-Range Applications,1
pu2028,PolyU,2010,2010-12-31,PolyU MBA Wins Capital CEO Supreme Brand Award,1
pu1471,PolyU,2003,2003-12-16,PolyU wins acclaim for teaching and learning quality,1
cu1842,CUHK,2014,2014-07-10,Over 800 HKDSE Candidates Experience University Life at CUHK,1
cu1273,CUHK,2012,2012-03-19,CUHK’s Youth Urological Treatment Centre Opens Today Territory’s First Centre to Provide Urological Assessment and Treatment to Young Drug Abusers,1
cu0026,CUHK,2010,2010-03-31,CUHK Psychology Department Develops Assessment Tools for Diagnosis of Early Dementia,1
hu0120,HKU,2014,2014-08-27,HKU holds Inauguration Ceremony for New Students 2014,1
pu6189,PolyU,2016,2016-02-01,PolyU Develops Fluorescent Probes for Rapid Detection of Formaldehyde in Food,1
pu2078,PolyU,2011,2011-03-29,PolyU extends collaboration with Citizen Football Club,1
pu1588,PolyU,2009,2009-07-15,PolyU scholar heads World Council of Optometry,1
hu0124,HKU,2012,2012-11-07,HKU sets up an Investigation Panel for the Dental Unit Incident,1
hu0917,HKU,2011,2011-08-11,Crimson Summer Exchange (CSE) 2011 Ends with Resounding Success Provides Valuable Cultural and Intellectual Exchange Opportunities,1
pu1146,PolyU,2009,2009-04-23,PolyU co-hosts the Sixth Asia Cornea and Contact Lens Conference,1
cu0475,CUHK,2008,2008-09-02,Can we avoid spending the last part of our lives in old age homes?,1
hu1375,HKU,2004,2004-11-18,"Latest Release of LRC3 to Allow Hong Kong Academics Access to 45,000 Learning Objects",1
cu0327,CUHK,2008,2008-12-16,The Mok Hing Yiu Endowed Professorship Lecture by Professor Joseph Sung,1
hu1393,HKU,2006,2006-04-06,HKU Predicts a Stable Growth in 2006,1
pu2416,PolyU,2012,2012-12-07,J.C.DISI: Asia's First Design Institute for Social Innovation,1
cu3473,CUHK,2006,2006-09-11,SHKP Nobel Laureate Lecture by Professor Ignarro,1
hu1255,HKU,2014,2014-09-10,Suicide Prevention: One World Connected,1
cu0111,CUHK,2009,2009-11-30,Inauguration Ceremony of CUHK School of Public Health and Primary Care and Opening Ceremony of Asia Conference on Emerging Issues in Public Health Ideas into Actions – Building for Tomorrow ,1
cu3204,CUHK,2005,2005-08-09,Frontline AandE Academics Support Ambulance Medical Priority Dispatch System,1
pu1799,PolyU,2003,2003-01-27,PolyU listed Asia's top 20 IT-savvy organisations,1
cu0034,CUHK,2010,2010-03-23,CUHK’s Latest Update on Endoscopic Non-invasive Treatment of Early Gastrointestinal Cancers,1
cu1474,CUHK,2013,2013-01-27,CUHK Kicks off its 50th Anniversary Celebrations to Perpetuate Humanistic Spirit and Share Love and Care with the Community,1
cu0315,CUHK,2009,2009-01-13,CUHK Proves Using Drug-eluting Stent  in Treatment of Coronary Heart Disease Reduces Relapse and is Cost-effective,1
hu0772,HKU,2004,2004-10-05,HKU Students win Mabuchi Motor Award at the ABU Robocon 2004,1
cu0169,CUHK,2009,2009-09-14,CUHK Global Business Students Win the Global Championship in  CIMA Global Business Challenge 2009 ,1
cu1764,CUHK,2014,2014-03-06,CUHK Pro-Vice-Chancellor Hau Kit-tai Elected AERA Fellow,1
hu0946,HKU,2010,2010-10-06,Early Results from the Jockey Club Early Psychosis (JCEP) Project,1
pu1178,PolyU,2009,2009-06-18,Engineering talents unleash creativity in robotic competition,1
pu0910,PolyU,2007,2007-10-29,PolyU School of Nursing signs pact with HK Sanatorium and Hospital,1
hu0993,HKU,2010,2010-01-26,Breaking the Deadlock on Political Reform,1
cu0706,CUHK,2007,2007-03-22,Japan Consul-General to lecture on Japan-China Relations,1
cu3548,CUHK,2005,2005-12-13,CUHK-HKIEd joint degree programme,1
cu2288,CUHK,2016,2016-06-21,CUHK World’s First Study Confirms A New Colorectal Cancer High Risk Group Siblings of Affected Individuals 6 times More Likely to Have Advanced Adenoma,1
cu1564,CUHK,2013,2013-05-23,CUHK Presents 2012 Long Service Awards to 56 Members of Staff Three Awardees Share Unforgettable Experience at CUHK  ,1
cu2051,CUHK,2015,2015-07-09,CUHK Engineering Professors Revealed Sweeping Security Loopholes in Mobile Devices and Social Media,1
cu0411,CUHK,2008,2008-04-09,CUHK admits the largest number of EAS students four years in a row,1
hu0368,HKU,2013,2013-09-10,HKU Journalism graduate awarded HKU/Oxford Kwok Scholar  to study public policy at Oxford University,1
hu1232,HKU,2003,2003-11-27,168th Congregation of the University of Hong Kong,1
pu1489,PolyU,2003,2003-03-24,PolyU to host Hong Kong's first symposium on research &amp; development in railway engineering,1
cu0351,CUHK,2008,2008-11-19,U.S. Consul General in Hong Kong Joseph Donovan Speaks on Hong Kong’s Importance to the U.S. at CUHK Today,1
cu0540,CUHK,2007,2007-09-20,CUHK Welcomes Chancellor of University of Aberdeen Lord David Wilson,1
pu0635,PolyU,2006,2006-02-02,PolyU SPEED invites applications for its wide range of programmes,1
cu1398,CUHK,2012,2012-09-25,CUHK Professor Dennis Lo Won Ernesto Illy Trieste Science Prize for Contributing to Human Health in Developing Countries ,1
pu0316,PolyU,2004,2004-06-29,PolyU index: Confidence in housing market improving but incentive to buy still weak,1
cu3251,CUHK,2003,2003-12-01,G.H. Choa Cardiovascular Centre Opens at Prince of Wales Hospital,1
cu2139,CUHK,2015,2015-12-01,CUHK Awards Honorary Doctorates to Five Distinguished Persons,1
hu0073,HKU,2014,2014-03-28,Legal Information Website for Families in Hong Kong – FamilyCLIC  ,1
hu0911,HKU,2010,2010-09-09,"Funeral &amp; Memorial Service for Mr Ken Leung Kam-wing, Miss Doris Leung Chung-see &amp; Miss Jessie Leung Song-yi",1
hu0094,HKU,2014,2014-04-13,HKU and CUHK hold the 11th Vice-Chancellor's Cup Soccer Match,1
cu3358,CUHK,2004,2004-11-19,JLGIS and U S Geological Survey's Earth Resources Observation Systems Data Center Signed Letter of Intent to Enhance Cooperation,1
cu0635,CUHK,2008,2008-01-08,CUHK Scientists receive State Scientific and Technological Progress Award,1
pu1536,PolyU,2006,2006-05-26,Jockey Club Summer Internship Programme in full swing,1
cu0117,CUHK,2009,2009-11-22,CUHK Launches Bachelor of Biomedical Engineering Programme,1
pu1114,PolyU,2009,2009-02-23,PolyU kicks off month-long Career Event,1
cu0914,CUHK,2010,2010-12-28,CUHK Physics Prof. Xia Keqing Elected Fellow of American Physical Society ,1
cu3659,CUHK,2004,2004-12-16,CUHK Performs Territory's First Cervical Artificial Disc System Implantation,1
pu2613,PolyU,2013,2013-09-24,PolyU hosts Young Leadership Conference for engineers and students,1
pu1094,PolyU,2009,2009-01-05,"Two International Journals Co-organise Symposium on Accounting, Economics and Corporate Governance",1
cu3244,CUHK,2006,2006-05-14,CUHK 5th Honorary Fellowship Conferment Ceremony,1
cu1943,CUHK,2014,2014-12-11,CUHK Receives Donation from Fung Ying Seen Koon for Daoist Research and Holds International Conference on Qing Daoism cum Launching of Daoist Digital Museum,1
cu0243,CUHK,2009,2009-04-28,CUHK is the First in Asia to Introduce the Real-Time 3-Dimensional  Transesophageal Echocardiography to Diagnose Heart Diseases,1
hu1318,HKU,2016,2016-06-10,HKUL - Painting Everyday Life in Myanmar exhibition,1
pu1216,PolyU,2009,2009-10-17,PolyU President calls for support to advance innovation and technology,1
cu1027,CUHK,2011,2011-05-12,CUHK Presents Long Service Awards to 66 Staff,1
pu0677,PolyU,2006,2006-10-04,PolyU BRE Index drops marginally but market outlook remains positive,1
cu0546,CUHK,2007,2007-09-14,CUHK Presents Lectures by Nobel Laureates in Economic Sciences Free tickets to the public,1
hu1348,HKU,2015,2015-02-15,HKU to confer an honorary degree upon Dr Henry Hu Hung Lick  at the 193rd Congregation ,1
cu1174,CUHK,2011,2011-11-11,CUHK Morningside College Inaugurates New Campus,1
pu1170,PolyU,2009,2009-05-29,PolyU School of Design Annual Show displays students’ creative works,1
pu1658,PolyU,2007,2007-12-02,PolyU Vice President takes part in China’s Lunar Exploration Programme,1
cu1945,CUHK,2014,2014-12-15,The 7th Palliative Care Symposium for Health Care Workers in Chinese Population: 'Palliative Care in the Community',1
cu2278,CUHK,2016,2016-06-06,Survey Findings on Views on the Belt and Road Initiative in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
pu1790,PolyU,2004,2004-10-07,PolyU inventors strike gold in China International Invention Expo,1
pu1109,PolyU,2009,2009-02-11,PolyU stages its 4th Arts Festival,1
cu1922,CUHK,2014,2014-11-09,CUHK ISEIS Allied with ‘Space Silk Road’ to Enhance Global Satellite Service,1
cu0126,CUHK,2009,2009-11-11,Biggest Ever International Poetry Nights in Hong Kong Opens for Public Registration,1
pu1812,PolyU,2004,2004-04-26,PolyU wins five invention awards in Geneva,1
cu2255,CUHK,2016,2016-04-26,Results of “Hong Kong People’s Carbon-Reduction Behaviours and Health”,1
pu1914,PolyU,2010,2010-06-24,Six PolyU innovations honoured in Geneva’s Invention Expo,1
hu0202,HKU,2010,2010-04-15,Full Graduate Employment Despite Financial Tsunami,1
pu0863,PolyU,2007,2007-06-15,PolyU’s largest showcase of graduate design kicks off,1
pu2516,PolyU,2013,2013-05-16,Three PolyU researchers bestowed with national awards,1
cu0033,CUHK,2010,2010-03-23,Hong Kong Science and Technology Parks Corporation in Milestone Academic Collaboration with The Chinese University of Hong Kong To Boost Biotechnology in Hong Kong  Advanced Biotechnology R&amp;D Facilities at CUHK Now Available to Companies Based in Science,1
cu1883,CUHK,2014,2014-09-23,CUHK Reveals Effectiveness of TEA for Treating Liver Cancer with a 70% Chance of Completely Destroying Tumor,1
cu2132,CUHK,2015,2015-11-23,CUHK Receives Winners’ Cup at National Challenge Cup Competition,1
cu2295,CUHK,2016,2016-07-04,From Rural China to World’s Most Famous Architectural Exhibition Dou Pavilion by CUHK Architect Becomes Spotlight at 2016 Venice Biennale,1
cu0736,CUHK,2007,2007-05-10,"The Chinese University of Hong Kong Statement on ""CU Student Press""",1
cu0989,CUHK,2011,2011-03-12,CUHK Signs Framework Agreement with Shenzhen Municipal Government to Establish CUHK Shenzhen Institute,1
cu0541,CUHK,2007,2007-09-20,CUHK Celebrates 85th Birthday of Prof. Yang Chen Ning and  50th Anniversary of His Being Awarded the Nobel Prize,1
cu1495,CUHK,2013,2013-02-28,CUHK Presents Anniversary Fair and Public Lecture Series to Celebrate Golden Jubilee World-renowned Scholars Prof. Leo Ou-fan Lee and Prof. Tze-wan Kwan to Speak on the Ideal and Reality of University Education Open to the Public ,1
cu3675,CUHK,2004,2004-04-08,Survey on Youth Risk Behaviour,1
cu2251,CUHK,2016,2016-05-03,Survey Findings on Views on the Use of Putonghua and Simplified Chinese in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK,1
cu0260,CUHK,2009,2009-04-08,CUHK Social Work Department’s Survey Identifies Urgent Need for More Family-friendly Policies for Young Women,1
cu2091,CUHK,2015,2015-10-06,Nobel Peace Prize Laureate Talks on How Microcredit Alleviates Poverty in ICARE University Lecture on Civility,1
cu0721,CUHK,2007,2007-04-19,CUHK’s Centralized Labs Wins Hong Kong Institute of Architects Award,1
pu0572,PolyU,2005,2005-08-04,SPEED enhances Pre-Associate Degree programme for HKCEE holders,1
hu0003,HKU,2005,2005-09-23,"HKU's MBA programme ranked the highest in Asia by EIU, the Economist",1
hu0684,HKU,2004,2004-03-05,International Conference on Telecommunication and Networking to be Held First Time in Hong Kong,1
hu0246,HKU,2007,2007-08-02,HKU Appoints Three Distinguished Scholars as Deans,1
pu2097,PolyU,2011,2011-05-16,PolyU reaps the harvest of innovations in Geneva's Invention Expo,1
hu1349,HKU,2015,2015-11-22,HKU scientists discover a drought tolerance gene that may help plants fight against global warming,1
cu0744,CUHK,2007,2007-06-14,CUHK Launched University Social Enterprise Challenge Fostering the Development of Social Enterprise,1
pu1625,PolyU,2008,2008-11-12,Engineering talents shine in ASME final,1
cu0379,CUHK,2008,2008-10-20,The University of Sydney Chancellor Leads Delegation to CUHK,1
hu0065,HKU,2004,2004-11-05,"Suicide Research Centre talks on ""A Case for Contagious Effect of Celebrity (Press Invitation)",1
pu2342,PolyU,2012,2012-08-28,PolyU names lecture theatre after Mrs Tsang Sze Ho-wah,1
cu3419,CUHK,2005,2005-06-23,Experts Propose Ways to Boost Women Entrepreneurship in Hong Kong and Shenzhen,1
pu2596,PolyU,2013,2013-08-24,Study sheds light on association between adolescents' anxiety and depressive symptoms,1
pu1029,PolyU,2008,2008-09-08,PolyU and Warwick jointly hold the Sixteenth Congregation for Integrated Engineering Business Management Programme,1
pu0964,PolyU,2008,2008-03-09,PolyU holds fun-filled homecoming carnival for alumni,1
cu3100,CUHK,2004,2004-07-20,Arresting Myopia Progression in Children by Atropine Eye Ointment,1
hu1385,HKU,2009,2009-06-11,Measuring the Night Sky Brightness to understand the problem of Light Pollution in Hong Kong,1
cu0579,CUHK,2007,2007-11-26,Celebrated Writer Qiu Xiaolong Speaks at CUHK,1
cu3630,CUHK,2005,2005-06-06,CUHK and Tsinghua University Celebrate the 5th Anniversary of MBA Programme in Finance,1
cu1410,CUHK,2012,2012-10-15,Developing Global Business Leaders for the Asian Century CUHK’s EMBA Ranks No. 17 Worldwide Among Top 20 Programs Worldwide for 11 consecutive years (2001-2012),1
pu0721,PolyU,2006,2006-11-29,"PolyU’s Twelfth Congregation to salute 9,600 graduates",1
pu1518,PolyU,2005,2005-10-05,PolyU to hold Education Info Day,1
cu3463,CUHK,2004,2004-03-19,Novel Anti-Cancer Drug Development in CUHK,1
pu1079,PolyU,2008,2008-12-02,Workers should improve Putonghua Skill in current Environment of Dismissals,1
cu0810,CUHK,2010,2010-07-15,Prof. Cheng Siwei Visits CUHK,1
hu0305,HKU,2010,2010-06-26,HKU Vice-Chancellor Lap-Chee Tsui met 400 alumni and friends at HKU Shanghai Study Centre,1
pu1777,PolyU,2005,2005-01-24,PolyU researchers excel in Brussels Eureka Exhibition,1
pu0764,PolyU,2007,2007-01-18,PolyU establishes Asia’s first Care Apparel Centre,1
hu0146,HKU,2005,2005-06-24,Universities in China and Hong Kong Announce Partnership to Foster RFID Technology Development in Pearl River Delta,1
hu0664,HKU,2009,2009-07-08,HKU Announces 2009 Q3 HK Macroeconomic Forecast,1
cu0859,CUHK,2010,2010-09-07,CUHK Builds Advanced Eco School in Two Weeks for Sichuan,1
pu1213,PolyU,2009,2009-10-15,PolyU engineering researchers put fibre optics to good use,1
cu1421,CUHK,2012,2012-10-25,CUHK United College Distinguished Visiting Scholar Prof. Chen Yuan-Tsong to Speak on Challenges in New Drug Development Public Lecture Open for Registration ,1
hu0378,HKU,2010,2010-03-05,HKU Scientists’ Research on Metalloproteins Seeks to Inhibit Mutation of Helicobacter Pylori,1
cu1981,CUHK,2015,2015-03-03,Joint Study by CUHK and HKSH Reveals Patients with Comorbid REM Sleep Behavior Disorder and Depression may Suffer from Early-stage Neurodegeneration,1
hu0498,HKU,2005,2005-11-29,Celebrating HKU MBA's No. 1 Ranking in AsiaPartnership with London Business School Scales New Heights,1
cu1964,CUHK,2015,2015-01-30,CUHK Jockey Club Initiative Gaia Holds the ‘AQHI: A New Approach to Public Health Protection’ Forum,1
hu0551,HKU,2006,2006-04-25,"Joseph Yam invited by HKU For the launch of ""Meeting of Minds"" Programme",1
pu2391,PolyU,2012,2012-11-05,PolyU showcases students' creativity in Product Design Show,1
hu1055,HKU,2007,2007-01-08,"Over 500 Academics, Professionals and Elderly Share their Vision and Expertise at the ""CADENZA Symposium: Preparing for an Elder Friendly Hong Kong"" at HKU",1
hu0323,HKU,2015,2015-01-11,HKU holds dedication ceremony for Dr Li Dak-Sum Research Centre Building a world-class hub for stem cell biotech and regenerative medicine in Asia ,1
cu3486,CUHK,2006,2006-09-01,CUHK Professor of Statistics Chan Ngai-hang Named Fellow of the American Statistical Association,1
cu3759,CUHK,2005,2005-01-05,CUHK Receives Donation from Merrill Lynch To Facilitate Academic Exchange in Greater China Region,1
pu0928,PolyU,2007,2007-11-27,First Accreditation Forum and China Conference kicks off at PolyU,1
cu0409,CUHK,2008,2008-04-15,SHKP and CUHK Jointly Present Nobel Laureates Lectures Nobel Laureates in Medicine and Economic Sciences Explain Latest Research,1
hu1296,HKU,2012,2012-12-12,Trends in International Mathematics and Science Study (TIMSS) 2011,1
pu0914,PolyU,2007,2007-11-02,Nobel Laureate speaks at PolyU,1
cu0017,CUHK,2010,2010-04-19,CUHK Public Lecture by Turkish Sociologist Meltem Ahiska,1
hu0573,HKU,2004,2004-04-13,Dr Cesar de Prado Yepes to Deliver Public Lecture in HKU (Press Inivtation),1
cu1006,CUHK,2011,2011-04-12,CUHK Breakthrough in Quantum Science and Technology Research Makes Cover Story in Leading Journal ,1
cu1902,CUHK,2014,2014-10-16,"CUHK Presents Distinguished Lecture by  Sir Christopher A. Pissarides, 2010 Nobel Laureate in Economic Sciences 'The New Normal in China: Lessons from Europe in the Transition to a Post-Industrialized Society' ",1
cu1938,CUHK,2014,2014-12-01,CUHK Faculty of Medicine Receives Donation from BMCPC for Enhancing Dissecting Facilities and Surgical Training,1
cu3129,CUHK,2006,2006-12-17,World-renowned Pharmaceutical Scientist Takes the Helm of CUHK Pharmacy School          ,1
pu2115,PolyU,2011,2011-06-24,PolyU to honour five distinguished personalities at 17th Congregation,1
hu0154,HKU,2016,2016-07-07,HKU releases 2016 Third Quarter Hong Kong Macroeconomic Forecast,1
cu0326,CUHK,2008,2008-12-17,CUHK’s Morningside College Celebrates Ground-Breaking,1
hu0500,HKU,2012,2012-05-16,Treatment of Communication and Swallowing Disorders Using Transcranial Magnetic Stimulation,1
pu2415,PolyU,2012,2012-12-10,"PolyU-developed ""KineLabs"" shines in Asia Pacific ICT contest",1
hu0787,HKU,2015,2015-12-11,HKU Graduate School holds Award Presentation Ceremony,1
cu2114,CUHK,2015,2015-10-29,CUHK Screening Reveals 1 in 3 Older Adults in Community Suffer Brain Small Vessel Disease  Early Prevention Recommended,1
cu0280,CUHK,2009,2009-03-11,CUHK Global Business Students Win Three Championships,1
cu0613,CUHK,2007,2007-12-04,"SHKP and CUHK Present Nobel Lecture on  Rethinking Gene Expression, Evolution and Medicine",1
cu3235,CUHK,2005,2005-10-18,Six Distinguished Persons Honoured by CUHK,1
hu0211,HKU,2015,2015-05-17,HKU Faculty of Science first ever SciChef Cooking Challenge brought to a successful close (Good Hope School wins Champion) ,1
cu0769,CUHK,2010,2010-05-07,CUHK Institute of Space and Earth Information Science Uses Satellite Remote Sensing Technology to Monitor Offshore Oil Pollution,1
cu1556,CUHK,2013,2013-05-16,CUHK Centre for Financial Regulation and Economic Development Hosts Conference on ‘Finding the Right Balance of Regulation for Economic Development: China and Western Regulatory Models’ Now Open for Online Registration ,1
pu1693,PolyU,2006,2006-08-24,PolyU's civil engineering research output ranks first in world,1
hu0090,HKU,2004,2004-08-31,ETI 5th Anniversary Celebration Technology Forum (Press Invitation),1
cu0194,CUHK,2009,2009-07-19,CUHK’s Groundbreaking Discovery in Semiconducting Nanowires Advances Nanotechnology,1
hu0019,HKU,2012,2012-04-22,Arts Farewell to the Main Building: A New Chapter in Our History,1
cu1120,CUHK,2011,2011-09-08,CUHK Professor Poon Wai-yin Awarded Inaugural UGC Award for Teaching Excellence,1
hu0534,HKU,2016,2016-06-14,HKU School of Public Health hosts a Symposium on “Transmission and Control of Respiratory Pathogens” ,1
cu3744,CUHK,2003,2003-05-28,CUHK Holds Its Second Honorary Fellowship Conferment Ceremony,1
cu3613,CUHK,2003,2003-10-24,The 59th Congregation of The Chinese University of Hong Kong,1
hu0943,HKU,2013,2013-05-08,HKU Civil Engineering and Computer Science Soars to Top Ten in  2013 QS University Subject Rankings in Engineering &amp; Technology ,1
