;Unnamed: 0;author;title;gender;sizecat;canonicity;timeslot;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
12;FRA0010_Ponson-012;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.04598190635442734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10420973598957063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09922806173563004;0.03415998816490173;0.08880670368671417;0.0;0.0;0.0;0.5962722301483154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026423186063766483
13;FRA0010_Ponson-013;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9930753111839294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;FRA0010_Ponson-014;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016152398660779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8381186723709106;0.0;0.13256199657917025;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;FRA0010_Ponson-015;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.08331268280744553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07505224645137787;0.8369731903076172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;FRA0010_Ponson-016;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9947603344917296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;FRA0010_Ponson-017;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9939114451408386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;FRA0010_Ponson-018;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08052629977464676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.913587749004364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;FRA0010_Ponson-019;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08544179797172546;0.0;0.0;0.0;0.0;0.0;0.9088935256004332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;FRA0010_Ponson-020;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9942154288291932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;FRA0010_Ponson-021;Ponson du Terrail, Pierre Alexis;La baronne trépassée : ELTeC edition;M;medium;high;T1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07541129738092422;0.0;0.9191933870315552;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
