	idno	univ	year	date	title	count	0	2	4	1	3	6	7	9	8	5
30	pu6064	PolyU	2014	2014-12-09	Launch of Tripartite Master of Science in Global Hospitality Business by Ecole hôtelière de Lausanne, PolyU and University of Houston Conrad N. Hilton College of Hotel and Restaurant Management	1	0.13855085	0.11508962	0.58230823	0.0	0.04147174	0.0	0.062459234	0.0	0.0	0.0581698
31	pu1439	PolyU	2010	2010-01-15	PolyU celebrates success of student-athletes in EAG	1	0.3745602	0.48682216	0.0	0.0	0.13727501	0.0	0.0	0.0	0.0	0.0
32	cu0119	CUHK	2009	2009-11-19	CUHK Appoints Dean of Engineering	1	0.0	0.0	0.0	0.09352402	0.0	0.5020139	0.0	0.40205362	0.0	0.0
33	cu1146	CUHK	2011	2011-10-11	CUHK United College Distinguished Visiting Scholar Prof. Herman Cheung to Speak on Advances and Challenges of Stem Cell-based Regenerative Medicine Public Lecture Open for Registration 	1	0.17739122	0.3083591	0.0	0.35010874	0.0	0.0	0.1622499	0.0	0.0	0.0
34	cu1230	CUHK	2012	2012-01-17	The Latest in Advanced Radiotherapy Technology Serving HK Soon	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9969308	0.0	0.0
35	cu1022	CUHK	2011	2011-05-05	2011 Academia Sinica Academicians Visit Programme cum Lecture Series Successfully Launched	1	0.60669535	0.0	0.050726965	0.28833014	0.0	0.0	0.053257905	0.0	0.0	0.0
36	cu1686	CUHK	2013	2013-11-14	CUHK Wins the Top Prize at National Challenge Cup Competition	1	0.32805425	0.0	0.37919915	0.25943056	0.0	0.0	0.0	0.0	0.0	0.031415008
37	pu1922	PolyU	2010	2010-06-30	PolyU stages Hong Kong's first Elderly Fashion Show	1	0.09114754	0.6715044	0.0	0.06244479	0.12440471	0.0	0.04771978	0.0	0.0	0.0
38	pu1913	PolyU	2010	2010-06-15	PolyU and SBC jointly organize seminar on anti-drug education	1	0.0892149	0.21175343	0.0	0.0	0.69555986	0.0	0.0	0.0	0.0	0.0
39	cu3090	CUHK	2006	2006-01-09	CUHK Scientists Awarded National Natural Science Awards	1	0.03994818	0.0	0.09069053	0.0	0.0	0.0	0.11624537	0.0	0.16730899	0.58466554
40	hu1014	HKU	2012	2012-12-01	Professor Lung Yingtai speaks at HKU on “My Hong Kong, My Taiwan”	1	0.2750028	0.47715533	0.0	0.24054264	0.0	0.0	0.0	0.0	0.0	0.0
41	hu1242	HKU	2008	2008-09-09	Heightened Suicide Risk among the Unemployed Population	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99689275	0.0	0.0
42	pu1175	PolyU	2009	2009-06-12	Professor Yu Dan sheds light on the Analects at PolyU	1	0.4321492	0.16769493	0.0760459	0.17551835	0.14827803	0.0	0.0	0.0	0.0	0.0
43	pu2139	PolyU	2011	2011-08-29	PolyU student-athletes shine in major games	1	0.33051243	0.0	0.09037916	0.0	0.54068327	0.0	0.03661447	0.0	0.0	0.0
44	pu6110	PolyU	2015	2015-05-13	PolyU celebrates the Second Inauguration of Endowed Professorships	1	0.19409366	0.0	0.0	0.0	0.6926765	0.018746298	0.0	0.0	0.015149559	0.07825588
45	hu0421	HKU	2012	2012-03-05	HKU Study Finds Aspirin Treatment for Cardiovascular Disease in Chinese Does Not Increase the Risk of Recurrent Intracranial Haemorrhage	1	0.67376286	0.0	0.0	0.19542417	0.08513799	0.044524387	0.0	0.0	0.0	0.0
46	cu3597	CUHK	2006	2006-02-28	The Chinese University Kicks Off Environmental Protection Week	1	0.0	0.0	0.42899817	0.0	0.0	0.0	0.0	0.0	0.5656446	0.0
47	pu0434	PolyU	2003	2003-01-10	PolyU welcomes additional 1,000 student placements from the Chinese mainland	1	0.29264846	0.38001263	0.0	0.15211087	0.0	0.16826683	0.0	0.0	0.0	0.0
48	hu0046	HKU	2004	2004-11-15	Chair Professor of Orthopaedic Surgery to Deliver a William Mong Distinguished Lecture at HKU (Press Invitation)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9973668	0.0	0.0
49	cu3540	CUHK	2003	2003-01-29	Two Outstanding CUHK Scientists Elected IEEE Fellows	1	0.21474373	0.03576457	0.0	0.044870265	0.0	0.0	0.28096035	0.41486627	0.0	0.0
50	cu3408	CUHK	2005	2005-05-12	The Naming Ceremony of Lo Kwee-Seong Research Laboratory of Infectious Diseases	1	0.99155957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	cu0852	CUHK	2010	2010-08-30	A CUHK Study Confirms High Rate of Disease Progression and Efficacy of Weight Reduction in Patients with Nonalcoholic Fatty Liver Disease	1	0.9709242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024084954	0.0
52	hu0173	HKU	2012	2012-09-24	HKU and QMH Hematologist launch the first unified protocols in HK for blood cancers and diseases: Protocol book, iPhone app and website	1	0.36055526	0.37899005	0.0	0.0	0.25745735	0.0	0.0	0.0	0.0	0.0
53	cu1771	CUHK	2014	2014-03-14	CUHK Survey Reveals Majority of School Teens Have Insufficient Sleep Sleep Education and Intervention at Schools Help	1	0.0	0.15190084	0.048841827	0.095952675	0.5578819	0.069728516	0.0750076	0.0	0.0	0.0
54	pu1379	PolyU	2006	2006-03-01	PolyU School of Design establishes “MERECL” Laboratory	1	0.6247843	0.0	0.36428836	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55	pu1435	PolyU	2006	2006-09-07	PolyU holds International Conference on Impact of Movies and Television on Tourism	1	0.35816693	0.0	0.5075189	0.1326843	0.0	0.0	0.0	0.0	0.0	0.0
56	pu6225	PolyU	2016	2016-06-08	PolyU Releases Report on 2015 Tourist Satisfaction and Tourism Service Quality Indices	1	0.2216764	0.0	0.16427279	0.07001346	0.0	0.03705962	0.5060904	0.0	0.0	0.0
57	hu0051	HKU	2009	2009-05-09	A Year after the Sichuan Earthquake - A Symposium on Disaster Management	1	0.275666	0.0	0.0	0.0	0.46940002	0.20214455	0.04883425	0.0	0.0	0.0
58	cu1140	CUHK	2011	2011-10-06	New Dean of Education at CUHK Shares His Vision and Plans in Serving the Educational Community 	1	0.0	0.0	0.0	0.0	0.0	0.0	0.7654048	0.23139742	0.0	0.0
59	hu0448	HKU	2005	2005-03-29	New English Language Website helps Teachers and Students (Press Invitation)	1	0.3127929	0.0	0.15188801	0.0	0.49245965	0.0	0.0	0.0	0.04112542	0.0
60	cu0508	CUHK	2008	2008-07-10	CUHK’s Newly Developed Mind-Body Intervention Found Effective	1	0.16564846	0.0	0.0	0.5049161	0.1835481	0.0	0.0	0.12595113	0.018927826	0.0
61	cu1560	CUHK	2013	2013-05-22	The Chinese University of Hong Kong Receives Grand Challenges Explorations Grant for Innovative Global Health and Development Research 	1	0.18854026	0.18840355	0.0	0.11323631	0.50278217	0.0	0.0	0.0	0.0	0.0
62	cu1322	CUHK	2012	2012-05-30	CUHK Appoints Dr. Ella P. O. Chan as  Director of the School of Continuing and Professional Studies	1	0.58952844	0.0	0.30233598	0.048967116	0.057709124	0.0	0.0	0.0	0.0	0.0
63	cu1229	CUHK	2012	2012-01-17	CUHK Engineering Faculty Celebrates 20th Anniversary Organized Asian Engineering Deans Summit 2012  To Embrace a Better Future in Engineering Education  	1	0.34042457	0.17016825	0.41385338	0.0	0.0	0.0	0.07149435	0.0	0.0	0.0
64	hu1061	HKU	2013	2013-11-27	HKU study finds that most young adults in Hong Kong have unhealthy gums	1	0.344075	0.0	0.13492125	0.16954474	0.25907987	0.091203205	0.0	0.0	0.0	0.0
65	pu1476	PolyU	2003	2003-10-08	PolyU to hold Education Info Day	1	0.16519588	0.11630262	0.09010816	0.14994967	0.4778446	0.0	0.0	0.0	0.0	0.0
66	cu0069	CUHK	2010	2010-01-25	Foundation Stone Laid for CUHK Lee Woo Sing College	1	0.6562429	0.2511973	0.0	0.0	0.0	0.0	0.09075513	0.0	0.0	0.0
67	cu1974	CUHK	2015	2015-02-17	CUHK Succeeds in Treating Gastroesophageal Reflux Disease by Implantable Pulse Generator	1	0.0	0.6771455	0.27642033	0.043460052	0.0	0.0	0.0	0.0	0.0	0.0
68	pu1219	PolyU	2009	2009-10-19	PolyU congratulates Prof. Albert Chan on his appointment as HKBU President	1	0.55167925	0.0	0.21167128	0.07854385	0.0	0.0	0.0	0.15730645	0.0	0.0
69	hu0618	HKU	2005	2005-11-07	Heads of World's Leading Universities Celebrate HKU's Internationalization	1	0.0	0.0	0.558292	0.44023544	0.0	0.0	0.0	0.0	0.0	0.0
70	hu0673	HKU	2012	2012-11-04	Incident Report of University Health Service Dental Unit Update	1	0.5193904	0.15762469	0.0	0.28138158	0.040704116	0.0	0.0	0.0	0.0	0.0
71	hu1085	HKU	2008	2008-08-27	HKU Formally Welcomes New Students to the University Family	1	0.0	0.0	0.0	0.0	0.0	0.1315872	0.13943501	0.7272344	0.0	0.0
72	pu0369	PolyU	2003	2003-11-28	PolyU sets sight on the Chinese mainland	1	0.24883254	0.0	0.0	0.031892892	0.061148163	0.0	0.135922	0.0	0.21980086	0.3012044
73	cu0139	CUHK	2009	2009-10-29	Three Distinguished Persons Honoured by CUHK	1	0.0	0.5842376	0.41283864	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	cu1838	CUHK	2014	2014-07-04	Survey Findings on Views about the Future Fuel Mix for Electricity Generation for Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK	1	0.0	0.0	0.0	0.0	0.14107653	0.14573383	0.3419627	0.36909613	0.0	0.0
75	pu0843	PolyU	2007	2007-05-15	HKCC helps promote the use of English among the younger generation	1	0.21998394	0.0	0.0	0.7768757	0.0	0.0	0.0	0.0	0.0	0.0
76	cu1673	CUHK	2013	2013-10-31	ISEIS Hosts the Advanced Training Course in Ocean Remote Sensing of ESA-MOST China Dragon Cooperation	1	0.07069065	0.0	0.0	0.100787945	0.620201	0.20022465	0.0	0.0	0.0	0.0
77	hu0012	HKU	2015	2015-06-10	“Sèvres: Porcelain of the Kings”  Celebrating extraordinary French Porcelain	1	0.9509995	0.0	0.0	0.0	0.0	0.0	0.0	0.045575812	0.0	0.0
78	cu0909	CUHK	2010	2010-12-07	CUHK Releases the Results of Programme for International Student Assessment	1	0.0	0.0	0.0	0.0	0.14514165	0.0	0.19604383	0.6562811	0.0	0.0
79	hu0898	HKU	2015	2015-04-09	HKU developed the atrial fibrillation (AF) management app and Launch of private doctors AF screening programme	1	0.4449795	0.0	0.0	0.0	0.55233186	0.0	0.0	0.0	0.0	0.0
