	idno	univ	year	date	title	count	1	10	13	16	0	11	4	6	17	18	19	5	9	3	8	2	15	12	7	14
0	pu2252	PolyU	2012	2012-02-22	"$10 million boost for ""PolyU – Henry G. Leong Mobile Integrative Health Centre"""	1	0.34551492	0.47854778	0.14932345	0.019068021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	pu1197	PolyU	2009	2009-08-23	PolyU participates in the First SPINEXPO New York International Trade Fair	1	0.0	0.0	0.38264832	0.0	0.338851	0.27018473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	cu1849	CUHK	2014	2014-07-24	Survey Findings on Evaluation of Political Parties in Hong Kong Released by Hong Kong Institute of Asia-Pacific Studies at CUHK	1	0.13501798	0.0	0.0	0.0	0.0	0.26019844	0.05509198	0.16770504	0.11461638	0.042826466	0.22187185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	hu0426	HKU	2008	2008-04-08	Work Life Balance in Hong Kong Survey Results	1	0.0	0.0819102	0.0	0.0	0.9159334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	cu3754	CUHK	2003	2003-04-14	Schools Against SARS	1	0.0	0.0	0.38929167	0.0145767825	0.4784476	0.0	0.018364863	0.0	0.0	0.0	0.0	0.08711602	0.010686592	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	pu2018	PolyU	2010	2010-12-15	PolyU hosts the First International Conference on Sustainable Urbanization	1	0.32506168	0.1869067	0.056567356	0.03222904	0.0	0.0	0.0	0.0	0.12978236	0.0	0.0	0.0	0.0698203	0.16997385	0.023431398	0.0	0.0	0.0	0.0	0.0
6	cu3154	CUHK	2005	2005-08-18	Inventor of Laser Charles Townes Lectures at the Chinese University	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13187689	0.0	0.0	0.76857024	0.0	0.018708529	0.07691561	0.0	0.0	0.0
7	pu2511	PolyU	2013	2013-05-07	Asia Pacific Initiative Programme launches	1	0.054331444	0.0	0.4745084	0.10185472	0.044844415	0.0	0.02732933	0.0	0.045215376	0.0	0.0	0.19041651	0.0	0.0	0.011828487	0.03446459	0.014110556	0.0	0.0	0.0
8	pu0402	PolyU	2003	2003-07-07	PolyU honours winning secondary school teams in E-Shop Competition	1	0.0	0.22446387	0.059019584	0.0	0.012671793	0.3788896	0.0	0.0	0.0	0.08437338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23715249	0.0	0.0
9	pu2121	PolyU	2011	2011-07-08	"Major forum sheds light on the future of ""Shenzhen-HK Innovation Circle"""	1	0.0	0.0	0.067614235	0.046733096	0.0	0.114676036	0.1682258	0.0	0.18724523	0.0	0.0	0.0	0.0	0.267559	0.0	0.0	0.14549382	0.0	0.0	0.0
10	pu1021	PolyU	2008	2008-07-17	PolyU's environmental improvement project receives support of HSBC	1	0.0	0.0	0.0	0.0	0.0	0.0	0.45642516	0.0	0.33587167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20453621	0.0	0.0	0.0
11	cu1204	CUHK	2011	2011-12-16	CUHK Vice-Chancellor Professor Joseph Sung Elected Academician of the Chinese Academy of Engineering The Only Hong Kong Scientist to Receive the Honour this Year	1	0.0	0.1121265	0.0	0.0	0.16009673	0.25482607	0.16745865	0.0	0.091545746	0.0	0.0	0.20604557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	cu2269	CUHK	2016	2016-05-24	CUHK and HKU Researchers Introduce 3D Printing Technology in Complex Cardiac Surgery Procedures	1	0.112786725	0.29276112	0.21711928	0.035489373	0.0	0.0	0.24768373	0.0	0.06437739	0.0	0.0	0.018530032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	cu1720	CUHK	2013	2013-12-18	CUHK SHKDI holds Dr. Li Dak Sum Shanghai-Hong Kong Development Lecture and Cheque Presentation Ceremony Today Mr. Andrew Sheng Speaks on Financial Development in Shanghai and Hong Kong	1	0.0	0.047822073	0.0	0.0	0.33111486	0.42378205	0.0	0.0	0.0	0.0	0.0	0.16288151	0.0	0.0	0.0	0.0	0.0	0.032572366	0.0	0.0
14	pu1754	PolyU	2005	2005-07-27	PolyU wins international acclaim on alumni development and fund-raising	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99531746	0.0	0.0	0.0
15	pu1090	PolyU	2008	2008-12-31	PolyU dedicates a tree to long-serving President	1	0.04306946	0.0	0.20213847	0.18840472	0.45201498	0.0	0.09426751	0.0	0.0	0.0	0.0	0.0	0.0	0.017828833	0.0	0.0	0.0	0.0	0.0	0.0
16	pu0745	PolyU	2006	2006-12-18	PolyU DBA on the world map with its 10th anniversary	1	0.06257913	0.40554067	0.42735228	0.08576236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014456666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	pu2222	PolyU	2012	2012-01-08	PolyU Optometry Expert Proves the Effectiveness of Orthokeratology in Myopic Control	1	0.0	0.0	0.0	0.0	0.0	0.0	0.120376736	0.0	0.0	0.0	0.0	0.0	0.0	0.31941625	0.0	0.0	0.5090826	0.0	0.047763772	0.0
